source_id,sample_id,batch,initiator_abs_ee_percent,initiator_sign,injection_count,aldehyde_added_mmol,product_ee_percent,pdf_page,transcription_status
HB2019-SI,H1,H,0.10,R,4,4.1,-0.3,6,machine_extracted_unchecked
HB2019-SI,H2,H,0.10,R,4,4.1,12.5,6,machine_extracted_unchecked
HB2019-SI,H3,H,0.10,R,4,4.1,0.2,6,machine_extracted_unchecked
HB2019-SI,H4,H,0.10,R,4,4.1,23.5,6,machine_extracted_unchecked
HB2019-SI,H5,H,0.10,R,4,4.1,0.3,6,machine_extracted_unchecked
HB2019-SI,H6,H,0.10,R,4,4.1,-65.6,6,machine_extracted_unchecked
HB2019-SI,H7,H,0.10,R,4,4.1,48.0,6,machine_extracted_unchecked
HB2019-SI,H8,H,0.10,R,4,4.1,7.0,6,machine_extracted_unchecked
HB2019-SI,H9,H,0.10,R,4,4.1,76.1,6,machine_extracted_unchecked
HB2019-SI,H10,H,0.10,R,4,4.1,42.4,6,machine_extracted_unchecked
HB2019-SI,H11,H,0.10,R,4,4.1,-43.4,6,machine_extracted_unchecked
HB2019-SI,H12,H,0.10,R,4,4.1,-20.3,6,machine_extracted_unchecked
HB2019-SI,H13,H,0.10,S,4,4.1,3.3,6,machine_extracted_unchecked
HB2019-SI,H14,H,0.10,S,4,4.1,-0.9,6,machine_extracted_unchecked
HB2019-SI,H15,H,0.10,S,4,4.1,19.6,6,machine_extracted_unchecked
HB2019-SI,H16,H,0.10,S,4,4.1,17.5,6,machine_extracted_unchecked
HB2019-SI,H17,H,0.10,S,4,4.1,-1.0,6,machine_extracted_unchecked
HB2019-SI,H18,H,0.10,S,4,4.1,-59.3,6,machine_extracted_unchecked
HB2019-SI,H19,H,0.10,S,4,4.1,-49.1,6,machine_extracted_unchecked
HB2019-SI,H20,H,0.10,S,4,4.1,-39.0,6,machine_extracted_unchecked
HB2019-SI,H21,H,0.10,S,4,4.1,-25.9,6,machine_extracted_unchecked
HB2019-SI,H22,H,0.10,S,4,4.1,-33.0,7,machine_extracted_unchecked
HB2019-SI,H23,H,0.10,S,4,4.1,-56.0,7,machine_extracted_unchecked
HB2019-SI,H24,H,0.10,S,4,4.1,4.7,7,machine_extracted_unchecked
