2026-05-13 21:46:55 CMD: /home/frederick/anaconda3/envs/llama3/bin/python -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v22_perceptual_localglobal_dynamic_infinite_20260510_013011_c338ee97f453/aslmt_train_v22_perceptual_localglobal_dynamic_infinite.py --profile solid --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 8 --z-classes 8 --w-z 5.0 --w-k 0.0 --w-q 1.0 --w-pos 0.25 --w-rank-img 1.0 --w-rank-cue 0.25 --rank-n-ctx 64 --rank-ood-ratio 0.5 --rank-margin 2.0 --w-bce 1.0 --w-dice 1.0 --bce-pos-weight auto --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v22_perceptual_localglobal_dynamic_infinite_20260510_013011_c338ee97f453/v22_perceptual_master_20260510_013011_c338ee97f453_n8_z8_seed0.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v22_perceptual_localglobal_dynamic_infinite_20260510_013011_c338ee97f453/ckpt_20260510_013011_c338ee97f453_n8_z8_seed0.pt
2026-05-13 21:46:58 /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v22_perceptual_localglobal_dynamic_infinite_20260510_013011_c338ee97f453/aslmt_model_v22_perceptual_localglobal_dynamic_infinite.py:76: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
2026-05-13 21:46:58   s = F.conv2d(cue_ch, k, padding=0)  # (B,1,H-1,W-1)
2026-05-13 21:47:06 /home/frederick/anaconda3/envs/llama3/lib/python3.8/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
2026-05-13 21:47:06   return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
2026-05-13 22:05:47 {"step": 200, "split": "ood", "loss": 13.242162704467773, "lossA": 13.13854694366455, "lossB": 0.10361595451831818, "lossA_seg": 1.113168716430664, "lossA_seg_bce": 0.2524324059486389, "lossA_seg_dice": 0.8607363700866699, "lossA_z": 1.928041934967041, "lossA_q": 0.6873417496681213, "lossA_pos": 0.07539403438568115, "lossA_rank_img": 1.1850249767303467, "lossA_rank_cue": 1.9758158922195435}
2026-05-13 22:24:57 {"step": 400, "split": "iid", "loss": 10.172822952270508, "lossA": 10.079154014587402, "lossB": 0.09366905689239502, "lossA_seg": 0.9559115171432495, "lossA_seg_bce": 0.15789082646369934, "lossA_seg_dice": 0.7980206608772278, "lossA_z": 1.6169483661651611, "lossA_q": 0.6069322228431702, "lossA_pos": 0.09723050147294998, "lossA_rank_img": 0.3186092972755432, "lossA_rank_cue": 0.35460782051086426}
2026-05-13 22:43:23 {"step": 600, "split": "iid", "loss": 8.02828311920166, "lossA": 7.937116622924805, "lossB": 0.09116687625646591, "lossA_seg": 0.8192912340164185, "lossA_seg_bce": 0.12338671088218689, "lossA_seg_dice": 0.6959044933319092, "lossA_z": 1.289359211921692, "lossA_q": 0.45708975195884705, "lossA_pos": 0.09741564095020294, "lossA_rank_img": 0.17445194721221924, "lossA_rank_cue": 0.06053541973233223}
2026-05-13 23:01:32 {"step": 800, "split": "ood", "loss": 6.5202412605285645, "lossA": 6.418228626251221, "lossB": 0.10201281309127808, "lossA_seg": 0.48064926266670227, "lossA_seg_bce": 0.06203881651163101, "lossA_seg_dice": 0.41861045360565186, "lossA_z": 1.1120884418487549, "lossA_q": 0.355326384305954, "lossA_pos": 0.08724470436573029, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-13 23:19:07 {"step": 1000, "split": "iid", "loss": 5.4088287353515625, "lossA": 5.318356990814209, "lossB": 0.09047169983386993, "lossA_seg": 0.413264662027359, "lossA_seg_bce": 0.07261601090431213, "lossA_seg_dice": 0.3406486511230469, "lossA_z": 0.921746015548706, "lossA_q": 0.2694684863090515, "lossA_pos": 0.10757534205913544, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-13 23:36:25 {"step": 1200, "split": "iid", "loss": 4.492684841156006, "lossA": 4.4018120765686035, "lossB": 0.09087260067462921, "lossA_seg": 0.21898093819618225, "lossA_seg_bce": 0.03403916209936142, "lossA_seg_dice": 0.18494176864624023, "lossA_z": 0.7898217439651489, "lossA_q": 0.21059586107730865, "lossA_pos": 0.09250620007514954, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-13 23:54:14 {"step": 1400, "split": "iid", "loss": 3.816713571548462, "lossA": 3.724703311920166, "lossB": 0.09201034903526306, "lossA_seg": 0.19337567687034607, "lossA_seg_bce": 0.03194078430533409, "lossA_seg_dice": 0.16143488883972168, "lossA_z": 0.6668663620948792, "lossA_q": 0.169394850730896, "lossA_pos": 0.11040525883436203, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 00:12:37 {"step": 1600, "split": "iid", "loss": 3.438107967376709, "lossA": 3.3459420204162598, "lossB": 0.09216587245464325, "lossA_seg": 0.17420122027397156, "lossA_seg_bce": 0.025970783084630966, "lossA_seg_dice": 0.1482304334640503, "lossA_z": 0.5995675325393677, "lossA_q": 0.14410707354545593, "lossA_pos": 0.11918449401855469, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 00:31:00 {"step": 1800, "split": "iid", "loss": 2.9762446880340576, "lossA": 2.8852951526641846, "lossB": 0.09094956517219543, "lossA_seg": 0.17244943976402283, "lossA_seg_bce": 0.03094790130853653, "lossA_seg_dice": 0.1415015459060669, "lossA_z": 0.5134691596031189, "lossA_q": 0.11897257715463638, "lossA_pos": 0.10610999912023544, "lossA_rank_img": 0.0, "lossA_rank_cue": 0.0}
2026-05-14 00:49:24 {"step": 2000, "split": "iid", "loss": 2.277871608734131, "lossA": 2.1872100830078125, "lossB": 0.09066157042980194, "lossA_seg": 0.042777929455041885, "lossA_seg_bce": 0.003795894794166088, "lossA_seg_dice": 0.03898203372955322, "lossA_z": 0.40183088183403015, "lossA_q": 0.09962358325719833, "lossA_pos": 0.1092824786901474, "lossA_rank_img": 0.008333556354045868, "lossA_rank_cue": 0.0}
2026-05-14 01:06:39 {"step": 2200, "split": "ood", "loss": 2.161717414855957, "lossA": 2.059330701828003, "lossB": 0.10238663852214813, "lossA_seg": 0.13536480069160461, "lossA_seg_bce": 0.022039979696273804, "lossA_seg_dice": 0.11332482099533081, "lossA_z": 0.36223259568214417, "lossA_q": 0.08596866577863693, "lossA_pos": 0.1066296324133873, "lossA_rank_img": 0.00017685815691947937, "lossA_rank_cue": 0.0}
